gold_id,set,outcome_text,v3_gold,v3_suggested,v3_alternates,via_v2,via_2x,needs_review,review_reason,codebook_gap,expected_uncoded,adjudication_note,status,adjudicated_by,adjudicated_on
S033,design,Program graduates will be employed or in education six months after exit.,,Y7.5 Employment & Earnings,"Y1.18 Postsecondary Enrollment, Persistence & Completion",Y7.5,Y7.5,no,,0,false,,proposed,,
S034,design,Students will believe that their intelligence can grow with effort.,Y1.12 Academic Mindsets & Self-Efficacy,Y1.12 Academic Mindsets & Self-Efficacy,"Y5.4 Confidence, Self-Efficacy & Self-Worth",Y1.12,Y5.4,yes,v2 and 2.x routes disagree,0,false,,adjudicated,Severin,2026-09-26
S035,design,Families will reduce housing instability and report decreased stress related to housing insecurity.,,F2.3 Housing Stability & Safe Living Situation,"F2.1 Income, Benefits & Financial Stability",F2.3,F2.3,no,,0,false,,proposed,,
S036,design,Girls in the program will increasingly see themselves as 'a STEM person.',Y5.3 Domain Identity,Y5.3 Domain Identity,Y5.1 Self-Understanding & Identity Exploration | Y2.3 Sustained & Individual Interest,Y5.3,Y5.1,yes,v2 and 2.x routes disagree,0,false,,adjudicated,Severin,2026-09-26
S037,design,Young adults will maintain their own apartment lease for 12 consecutive months.,,F2.3 Housing Stability & Safe Living Situation,Y7.7 Independent Living Skills,F2.3,F2.3,no,,0,false,,proposed,,
S038,design,Youth will feel safe walking in their neighborhood.,Y8.10 Felt Safety,Y8.10 Felt Safety,Y3.1 Belonging & Mattering,Y8.10,Y8.10,yes,2.x code 6.1 was split,0,false,,adjudicated,Severin,2026-09-26
S039,design,Youth council members will co-design program activities with staff.,,"Y6.4 Civic Voice, Leadership & Participation","Y5.6 Agency, Self-Determination & Self-Advocacy",Y6.4,Y6.4,no,,0,false,,proposed,,
S040,design,Young mothers will complete all recommended well-child visits for their infant.,F1.3 Family Health Practices,F1.3 Family Health Practices,F1.1 Parenting Knowledge & Practices | Y8.5 Health Care Access & Condition Management,F1.3,F1.1,yes,v2 and 2.x routes disagree,0,false,,adjudicated,Severin,2026-09-26
S041,design,Parents with limited English proficiency will receive school communications in their home language.,"A2.4 Inclusion, Accommodations & Language Access","A2.4 Inclusion, Accommodations & Language Access",A2.6 Family Engagement Systems | F1.8 Family Connection & Trust with the Program,A2.4,A2.6,yes,v2 and 2.x routes disagree,0,false,,adjudicated,Severin,2026-09-26
S042,design,Students will increase their homework completion rate from 60% to 85%.,,Y1.9 Academic Engagement Behaviors,"Y1.15 Grades, Credits & On-Track Status",Y1.9,Y1.9,no,,0,false,,proposed,,
S043,design,Case managers will report improved ability to navigate the county benefits system on behalf of clients.,,A1.1 Staff & Volunteer Knowledge & Skills,F1.7 System Navigation & Rights Knowledge,A1.1,A1.1,no,,0,false,,proposed,,
S044,design,Participants will understand the difference between a debit card and a credit card and the cost of interest.,,Y7.6 Financial Capability,Y1.3 Mathematics,Y7.6,Y7.6,no,,0,false,,proposed,,
S045,design,Youth will develop a sense of stewardship and connection to nature.,Y6.6 Environmental Stewardship,Y6.6 Environmental Stewardship,Y6.1 Positive Values & Character,Y6.6,Y6.1,yes,v2 and 2.x routes disagree,0,false,,adjudicated,Severin,2026-09-26
S046,design,Students will report reduced symptoms of anxiety and depression.,,Y8.6 Mental Health Symptoms & Distress,,Y8.6,Y8.6,no,,0,false,,proposed,,
S047,design,Match pairs will meet consistently for at least 12 months.,,"A2.5 Participation, Dosage & Reach (Output)",Y3.2 Supportive Adult Relationships,A2.5,A2.5,no,,0,false,,proposed,,
S048,design,Students will improve reading fluency by one grade level.,,Y1.1 Literacy: Reading & Writing,,Y1.1,Y1.1,no,,0,false,,proposed,,
S049,design,"Campers will try an activity that initially made them nervous, such as swimming in the lake.",Y2.2 Curiosity & Triggered Interest,Y2.2 Curiosity & Triggered Interest,"Y5.4 Confidence, Self-Efficacy & Self-Worth",Y2.2,Y5.4,yes,v2 and 2.x routes disagree,0,false,,adjudicated,Severin,2026-09-26
S050,design,Students will accurately calculate percentages and interest in math class.,,Y1.3 Mathematics,Y7.6 Financial Capability,Y1.3,Y1.3,no,,0,false,,proposed,,
S051,design,Teen parents will stay enrolled in high school through the birth of their child.,,Y1.13 Attendance & School Stability,Y1.17 High School Completion & Re-engagement,Y1.13,Y1.13,no,,0,false,,proposed,,
S052,design,Youth will resist peer pressure to use drugs or alcohol.,,Y4.12 Risk Avoidance & Refusal Skills,Y8.11 Substance Use,Y4.12,Y4.12,no,,0,false,,proposed,,
S053,design,Families will increase their knowledge of child development milestones.,,F1.1 Parenting Knowledge & Practices,,F1.1,F1.1,no,,0,false,,proposed,,
S054,design,Youth will learn to work as part of a team to achieve a common goal.,,"Y4.7 Teamwork, Collaboration & Group Leadership",Y3.3 Peer Relationships & Friendship,Y4.7,Y4.7,no,,0,false,,proposed,,
S055,design,Students will participate in restorative circles to repair harm instead of receiving a suspension.,Y1.14 Exclusionary Discipline,Y1.14 Exclusionary Discipline,"Y4.8 Relationship-Building & Conflict Resolution | Y8.13 Justice Involvement, Diversion & Reentry",Y1.14,Y4.8,yes,v2 and 2.x routes disagree,0,false,,adjudicated,Severin,2026-09-26
S056,design,Ninth graders will earn enough credits to be promoted to tenth grade.,"Y1.15 Grades, Credits & On-Track Status","Y1.15 Grades, Credits & On-Track Status",,Y1.15,Y1.15,yes,2.x code 1.6 was split,0,false,,adjudicated,Severin,2026-09-26
S057,design,See logic model above.,,none,,none,none,no,,0,true,,proposed,,
S058,design,Youth will compose an original song.,,Y2.5 Creative Expression & Performance,,Y2.5,Y2.5,no,,0,false,,proposed,,
S059,design,Youth will demonstrate leadership skills while leading a trail cleanup for the community.,"Y4.7 Teamwork, Collaboration & Group Leadership","Y4.7 Teamwork, Collaboration & Group Leadership","Y6.4 Civic Voice, Leadership & Participation | Y6.5 Community Service & Action",Y4.7,Y6.4,yes,v2 and 2.x routes disagree,0,false,,adjudicated,Severin,2026-09-26
S060,design,"Summer youth employees will earn an average of $2,400 in wages.",,Y7.5 Employment & Earnings,"F2.1 Income, Benefits & Financial Stability",Y7.5,Y7.5,no,,0,false,,proposed,,
S061,design,Infants and toddlers will receive developmental screenings and referrals as needed.,Y8.5 Health Care Access & Condition Management,Y8.5 Health Care Access & Condition Management,Y1.8 Early Learning & School Readiness,Y8.5,Y1.8,yes,v2 and 2.x routes disagree,0,false,,adjudicated,Severin,2026-09-26
S062,design,Families will report reduced food insecurity and increased access to healthy food.,,F2.2 Food Security,"F2.1 Income, Benefits & Financial Stability",F2.2,F2.2,no,,0,false,,proposed,,
S063,design,Youth will complete a resume and practice interview skills.,,Y7.2 College & Career Transition Knowledge,Y7.3 Employability & Workplace Skills,Y7.2,Y7.2,no,,0,false,,proposed,,
S064,design,Participants will complete an annual dental and vision screening.,Y8.5 Health Care Access & Condition Management,Y8.5 Health Care Access & Condition Management,Y8.1 Healthy Daily Habits,Y8.5,Y8.1,yes,v2 and 2.x routes disagree; 2.x code 8.1 was split,0,false,,adjudicated,Severin,2026-09-26
S065,design,Youth will report lower intentions to vape in the next year.,,Y8.11 Substance Use,Y4.12 Risk Avoidance & Refusal Skills,Y8.11,Y8.11,no,,0,false,,proposed,,
S066,design,Youth will improve their persuasive writing skills.,,Y1.1 Literacy: Reading & Writing,"Y1.7 Critical Thinking, Inquiry & Media Literacy",Y1.1,Y1.1,no,,0,false,,proposed,,
S067,design,Students will report fewer symptoms of depression on the PHQ-9.,,Y8.6 Mental Health Symptoms & Distress,,Y8.6,Y8.6,no,,0,false,,proposed,,
S068,design,"Children will develop fundamental movement skills such as running, jumping, throwing, and catching.",Y8.2 Motor & Sport Skills,Y8.2 Motor & Sport Skills,Y8.1 Healthy Daily Habits,Y8.2,Y8.1,yes,v2 and 2.x routes disagree; 2.x code 8.1 was split,0,false,,adjudicated,Severin,2026-09-26
S069,design,Students will learn and practice deep-breathing techniques to manage test anxiety.,,Y4.2 Emotion Regulation & Coping,Y1.11 Learning Strategies & Study Skills,Y4.2,Y4.2,no,,0,false,,proposed,,
S070,design,Youth will reconnect with family members and rebuild trust after a period of incarceration.,Y3.4 Family Relationships,Y3.4 Family Relationships,Y4.8 Relationship-Building & Conflict Resolution,Y3.4,Y4.8,yes,v2 and 2.x routes disagree,0,false,,adjudicated,Severin,2026-09-26
S071,design,Students will report higher life satisfaction and a sense of flourishing.,Y8.7 Flourishing & Life Satisfaction,Y8.7 Flourishing & Life Satisfaction,Y2.1 Enjoyment & Joy,Y8.7,Y2.1,yes,v2 and 2.x routes disagree,0,false,,adjudicated,Severin,2026-09-26
S072,design,Students will believe their math ability can grow with effort and practice.,,Y1.12 Academic Mindsets & Self-Efficacy,"Y5.4 Confidence, Self-Efficacy & Self-Worth",Y1.12,Y1.12,no,,0,false,,proposed,,
S073,design,Outreach workers will mediate conflicts to prevent retaliatory shootings in the neighborhood.,,"Y8.12 Violence, Bullying & Victimization",A1.2 Practice Change,Y8.12,Y8.12,no,,0,false,,proposed,,
S074,design,"Players will improve their dribbling, passing, and shooting skills.",Y8.2 Motor & Sport Skills,Y8.2 Motor & Sport Skills,Y1.5 Other Academic Subjects,Y8.2,Y1.5,yes,v2 and 2.x routes disagree; 2.x code 1.3 was split,0,false,,adjudicated,Severin,2026-09-26
S075,design,The organization will achieve accreditation from the state afterschool network.,A2.1 Program Quality,A2.1 Program Quality,A3.1 Policy & Institutional Change,A2.1,A3.1,yes,v2 and 2.x routes disagree; 2.x code 11.3 was split,0,false,,adjudicated,Severin,2026-09-26
S076,design,Youth will participate in a mission trip and serve people experiencing poverty.,,Y6.5 Community Service & Action,Y2.6 Participation in Enriching Activities,Y6.5,Y6.5,no,,0,false,,proposed,,
S077,design,"Youth will present their artwork in a public exhibition, building pride and confidence.",,Y2.5 Creative Expression & Performance,"Y4.6 Communication & Public Speaking | Y5.4 Confidence, Self-Efficacy & Self-Worth",Y2.5,Y2.5,no,,0,false,,proposed,,
S078,design,Youth who have experienced trauma will report feeling psychologically safe and supported in processing it.,,Y8.8 Healing & Trauma Recovery,Y3.1 Belonging & Mattering,Y8.8,Y8.8,no,,0,false,,proposed,,
S079,design,Youth will use calming strategies when upset.,,Y4.2 Emotion Regulation & Coping,,Y4.2,Y4.2,no,,0,false,,proposed,,
S080,design,"Students will try new enrichment activities they've never done before (cooking, coding, art).",,Y2.2 Curiosity & Triggered Interest,Y2.6 Participation in Enriching Activities,Y2.2,Y2.2,no,,0,false,,proposed,,
S081,design,Seniors will be able to compare financial aid award letters and calculate net cost.,,Y7.2 College & Career Transition Knowledge,Y7.6 Financial Capability,Y7.2,Y7.2,no,,0,false,,proposed,,
S082,design,Youth will express gratitude toward family and mentors.,,"Y4.4 Empathy, Perspective-Taking & Social Awareness",Y3.4 Family Relationships,Y4.4,Y4.4,no,,0,false,,proposed,,
S083,design,Volunteers will report a greater understanding of food insecurity issues in their community after serving at the food pantry.,A1.1 Staff & Volunteer Knowledge & Skills,A1.1 Staff & Volunteer Knowledge & Skills,Y6.3 Critical Consciousness & Social Justice | A3.3 Community Conditions & Collective Efficacy,A1.1,Y6.3,yes,v2 and 2.x routes disagree,0,false,,adjudicated,Severin,2026-09-26
S084,design,Alumni will complete a bachelor's degree within six years.,,"Y1.18 Postsecondary Enrollment, Persistence & Completion",,Y1.18,Y1.18,no,,0,false,,proposed,,
S085,design,Participating students will have fewer out-of-school suspensions.,Y1.14 Exclusionary Discipline,Y1.14 Exclusionary Discipline,"Y1.15 Grades, Credits & On-Track Status",Y1.14,Y1.15,yes,v2 and 2.x routes disagree; 2.x code 1.6 was split,0,false,,adjudicated,Severin,2026-09-26
S086,design,Youth will set and work toward a personal goal with support from their mentor.,,"Y4.3 Goal-Setting, Organization & Self-Discipline",Y3.2 Supportive Adult Relationships,Y4.3,Y4.3,no,,0,false,,proposed,,
S087,design,Staff will increase their knowledge of inclusive practices and accommodations for youth with diverse abilities.,,A1.1 Staff & Volunteer Knowledge & Skills,"A2.4 Inclusion, Accommodations & Language Access",A1.1,A1.1,no,,0,false,,proposed,,
S088,design,Youth will avoid a new adjudication while on probation.,,"Y8.13 Justice Involvement, Diversion & Reentry",,Y8.13,Y8.13,no,,0,false,,proposed,,
S089,design,Youth will create and follow a monthly personal budget.,,Y7.6 Financial Capability,Y7.7 Independent Living Skills,Y7.6,Y7.6,no,,0,false,,proposed,,
S090,design,Students will connect a historical artwork to their own cultural experience.,,Y2.5 Creative Expression & Performance,Y5.2 Cultural & Social Identity,Y2.5,Y2.5,no,,0,false,,proposed,,
S091,design,N/A,,none,,none,none,no,,0,true,,proposed,,
S092,design,Teens earning summer wages will deposit at least 25% of each paycheck into a savings account.,,Y7.6 Financial Capability,"F2.1 Income, Benefits & Financial Stability",Y7.6,Y7.6,no,,0,false,,proposed,,
S093,design,Youth will improve physical fitness and cardiovascular endurance.,Y8.1 Healthy Daily Habits,Y8.1 Healthy Daily Habits,,Y8.1,Y8.1,yes,2.x code 8.1 was split,0,false,,adjudicated,Severin,2026-09-26
S094,design,Students with asthma will reduce emergency room visits through improved self-management.,Y8.5 Health Care Access & Condition Management,Y8.5 Health Care Access & Condition Management,Y8.1 Healthy Daily Habits | Y8.3 Health Knowledge & Safety Skills,Y8.5,Y8.1,yes,v2 and 2.x routes disagree; 2.x code 8.1 was split,0,false,,adjudicated,Severin,2026-09-26
S095,design,Participants will open a savings account and make regular deposits.,,Y7.6 Financial Capability,,Y7.6,Y7.6,no,,0,false,,proposed,,
S096,design,Youth experiencing homelessness will maintain school enrollment and attendance despite housing disruptions.,,Y1.13 Attendance & School Stability,,Y1.13,Y1.13,no,,0,false,,proposed,,
S097,design,Students will identify careers in environmental science and conservation.,,Y7.1 Career Awareness & Exploration,Y6.6 Environmental Stewardship,Y7.1,Y7.1,no,,0,false,,proposed,,
S098,design,Parents will access interpretation and translation services to communicate with teachers.,"A2.4 Inclusion, Accommodations & Language Access","A2.4 Inclusion, Accommodations & Language Access",A2.6 Family Engagement Systems,A2.4,A2.6,yes,v2 and 2.x routes disagree,0,false,,adjudicated,Severin,2026-09-26
S099,design,Mentees will expand their professional network by connecting with at least three adults in careers of interest.,Y3.5 Social Capital & Networks,Y3.5 Social Capital & Networks,Y7.1 Career Awareness & Exploration,Y3.5,Y7.1,yes,v2 and 2.x routes disagree,0,false,,adjudicated,Severin,2026-09-26
S100,design,Third graders will read on grade level by the end of the year.,,Y1.1 Literacy: Reading & Writing,"Y1.15 Grades, Credits & On-Track Status",Y1.1,Y1.1,no,,0,false,,proposed,,
S101,design,The school district will adopt a policy guaranteeing afterschool transportation for all students.,A3.1 Policy & Institutional Change,A3.1 Policy & Institutional Change,,A3.1,A3.1,yes,2.x code 11.3 was split,0,false,,adjudicated,Severin,2026-09-26
S102,design,"Youth aging out of foster care will have at least one permanent, caring adult connection by age 21.",,Y3.2 Supportive Adult Relationships,Y3.4 Family Relationships,Y3.2,Y3.2,no,,0,false,,proposed,,
S103,design,Children will demonstrate improved self-regulation and ability to follow classroom routines.,,Y4.2 Emotion Regulation & Coping,"Y4.3 Goal-Setting, Organization & Self-Discipline",Y4.2,Y4.2,no,,0,false,,proposed,,
S104,design,Students will apply the engineering design process to build and test a prototype.,"Y1.4 Science, Technology & Engineering","Y1.4 Science, Technology & Engineering",Y1.5 Other Academic Subjects,Y1.4,Y1.5,yes,v2 and 2.x routes disagree; 2.x code 1.3 was split,0,false,,adjudicated,Severin,2026-09-26
S105,design,Youth will track their spending for four weeks and identify one change to their habits.,,Y7.6 Financial Capability,,Y7.6,Y7.6,no,,0,false,,proposed,,
S106,design,Families will enroll in SNAP and other public benefits they are eligible for.,,"F2.1 Income, Benefits & Financial Stability",F2.2 Food Security,F2.1,F2.1,no,,0,false,,proposed,,
S107,design,Youth will learn to protect their personal information online.,,Y6.7 Digital Citizenship & Online Safety,"Y1.7 Critical Thinking, Inquiry & Media Literacy",Y6.7,Y6.7,no,,0,false,,proposed,,
S108,design,Scouts will learn wilderness first aid and outdoor safety skills.,Y8.3 Health Knowledge & Safety Skills,Y8.3 Health Knowledge & Safety Skills,Y4.12 Risk Avoidance & Refusal Skills,Y8.3,Y4.12,yes,v2 and 2.x routes disagree,0,false,,adjudicated,Severin,2026-09-26
S109,design,Athletes will maintain passing grades to remain eligible for the team.,"Y1.15 Grades, Credits & On-Track Status","Y1.15 Grades, Credits & On-Track Status",Y2.6 Participation in Enriching Activities,Y1.15,Y1.15,yes,2.x code 1.6 was split,0,false,,adjudicated,Severin,2026-09-26
S110,design,Youth will identify a community issue and develop an action plan to address it.,,Y6.5 Community Service & Action,"Y6.4 Civic Voice, Leadership & Participation",Y6.5,Y6.5,no,,0,false,,proposed,,
S111,design,Students will ask questions in class and participate in discussions.,,Y1.9 Academic Engagement Behaviors,Y2.2 Curiosity & Triggered Interest,Y1.9,Y1.9,no,,0,false,,proposed,,
S112,design,Newcomer students will reduce social isolation and build friendships with peers who share similar experiences.,,Y3.3 Peer Relationships & Friendship,Y3.1 Belonging & Mattering,Y3.3,Y3.3,no,,0,false,,proposed,,
S113,design,"The program will provide accommodations (sensory kits, visual schedules) so all youth can participate.",,"A2.4 Inclusion, Accommodations & Language Access",A2.3 Access to Resources,A2.4,A2.4,no,,0,false,,proposed,,
S114,design,Students identified as high-risk will be connected to community mental health providers for ongoing care.,,Y8.9 Mental Health Service Access & Use,Y8.6 Mental Health Symptoms & Distress,Y8.9,Y8.9,no,,0,false,,proposed,,
S115,design,Students will explain how algebra relates to careers they are interested in.,,Y2.4 Relevance & Utility Value,Y1.3 Mathematics | Y7.1 Career Awareness & Exploration,Y2.4,Y2.4,no,,0,false,,proposed,,
S116,design,Youth will feel like someone believes in them.,,Y3.2 Supportive Adult Relationships,Y3.1 Belonging & Mattering,Y3.2,Y3.2,no,,0,false,,proposed,,
S117,design,Seniors will submit at least three college applications and the FAFSA.,,Y7.2 College & Career Transition Knowledge,"Y1.18 Postsecondary Enrollment, Persistence & Completion",Y7.2,Y7.2,no,,0,false,,proposed,,
S118,design,Parents will complete their GED or enroll in job training.,"F1.6 Adult Education, Skills & Employment","F1.6 Adult Education, Skills & Employment","F2.1 Income, Benefits & Financial Stability",F1.6,F2.1,yes,v2 and 2.x routes disagree,0,false,,adjudicated,Severin,2026-09-26
S119,design,Parents will read with their child at home at least three nights per week.,,F1.2 Home Learning Environment & Routines,F1.1 Parenting Knowledge & Practices,F1.2,F1.2,no,,0,false,,proposed,,
S120,design,"Transition-age youth will obtain their birth certificate, Social Security card, and state ID before exiting care.",Y7.7 Independent Living Skills,Y7.7 Independent Living Skills,Y7.2 College & Career Transition Knowledge,Y7.7,Y7.2,yes,v2 and 2.x routes disagree,0,false,,adjudicated,Severin,2026-09-26
S121,design,Students will increase daily consumption of fruits and vegetables.,Y8.1 Healthy Daily Habits,Y8.1 Healthy Daily Habits,,Y8.1,Y8.1,yes,2.x code 8.1 was split,0,false,,adjudicated,Severin,2026-09-26
S122,design,Students will be able to name three trusted adults or resources they can contact in a mental health crisis.,,Y4.9 Help-Seeking & Offering Support,Y8.9 Mental Health Service Access & Use,Y4.9,Y4.9,no,,0,false,,proposed,,
S123,design,Youth will articulate how systemic racism affects their community and advocate for policy change.,,Y6.3 Critical Consciousness & Social Justice,"Y6.4 Civic Voice, Leadership & Participation",Y6.3,Y6.3,no,,0,false,,proposed,,
S124,design,Youth will report a stronger sense of purpose and belonging within their faith community.,Y5.5 Purpose & Future Orientation,Y5.5 Purpose & Future Orientation,Y6.1 Positive Values & Character,Y5.5,Y5.5,yes,2.x code 6.4 was split,0,false,,adjudicated,Severin,2026-09-26
S125,design,Youth will grow in their faith and live out their values.,,Y6.1 Positive Values & Character,Y5.5 Purpose & Future Orientation,Y6.1,Y6.1,no,,0,false,,proposed,,
S126,design,Caregivers will build friendships with other parents in the program.,,F1.5 Caregiver Social Connections,,F1.5,F1.5,no,,0,false,,proposed,,
S127,design,Parents will attend at least 4 family workshops during the program year.,"A2.5 Participation, Dosage & Reach (Output)",F1.9 Family Participation & Leadership,,F1.9,A2.5,yes,v2 and 2.x routes disagree,0,false,,adjudicated,Severin,2026-09-26
S128,design,Students will ask questions and show curiosity during science demonstrations.,,Y2.2 Curiosity & Triggered Interest,Y1.9 Academic Engagement Behaviors,Y2.2,Y2.2,no,,0,false,,proposed,,
S129,design,Youth will report greater self-acceptance of their sexual orientation and gender identity.,,Y5.2 Cultural & Social Identity,"Y5.4 Confidence, Self-Efficacy & Self-Worth",Y5.2,Y5.2,no,,0,false,,proposed,,
S130,design,Participants will show growth in the following areas:,,none,,none,none,no,,0,true,,proposed,,
S131,design,LGBTQ+ youth will report feeling safe and affirmed in program spaces.,,Y3.1 Belonging & Mattering,Y5.2 Cultural & Social Identity,Y3.1,Y3.1,no,,0,false,,proposed,,
S132,design,4-H members will demonstrate public speaking skills by giving a demonstration at the county fair.,,Y4.6 Communication & Public Speaking,,Y4.6,Y4.6,no,,0,false,,proposed,,
S133,design,"Youth will use a step-by-step process to identify a problem, brainstorm solutions, and act on one.",,Y4.10 Decision-Making & Problem-Solving,,Y4.10,Y4.10,no,,0,false,,proposed,,
S134,design,Youth will be involved in fewer physical fights.,,"Y8.12 Violence, Bullying & Victimization",Y1.14 Exclusionary Discipline,Y8.12,Y8.12,no,,0,false,,proposed,,
S135,design,Parents will report increased confidence in their parenting skills.,,F1.1 Parenting Knowledge & Practices,F1.4 Caregiver Well-Being & Resilience,F1.1,F1.1,no,,0,false,,proposed,,
S136,design,Youth organizers will present testimony to the city council on a policy issue affecting their neighborhood.,,"Y6.4 Civic Voice, Leadership & Participation",Y4.6 Communication & Public Speaking,Y6.4,Y6.4,no,,0,false,,proposed,,
S137,design,Youth will report enjoying program activities.,,Y2.1 Enjoyment & Joy,A2.2 Participant & Family Satisfaction,Y2.1,Y2.1,no,,0,false,,proposed,,
S138,design,Interns will report increased understanding of workplace culture and expectations at their internship site.,,Y7.3 Employability & Workplace Skills,"Y4.4 Empathy, Perspective-Taking & Social Awareness",Y7.3,Y7.3,no,,0,false,,proposed,,
S139,design,"Families will connect with case management and access public benefits (SNAP, TANF, Medicaid).",,"F2.1 Income, Benefits & Financial Stability",F1.7 System Navigation & Rights Knowledge,F2.1,F2.1,no,,0,false,,proposed,,
S140,design,Students will use art as a healthy outlet for processing emotions.,,Y4.2 Emotion Regulation & Coping,,Y4.2,Y4.2,no,,0,false,,proposed,,
S141,design,LGBTQ+ youth will report fewer experiences of harassment at school after the GSA launch.,,"Y8.12 Violence, Bullying & Victimization",Y3.1 Belonging & Mattering,Y8.12,Y8.12,no,,0,false,,proposed,,
S142,design,Coaches will report improved ability to de-escalate conflicts between players during games.,,A1.1 Staff & Volunteer Knowledge & Skills,A1.2 Practice Change,A1.1,A1.1,no,,0,false,,proposed,,
S143,design,Refugee youth will maintain fluency in their home language while learning English.,Y1.2 English Language Development & Multilingualism,Y1.2 English Language Development & Multilingualism,Y5.2 Cultural & Social Identity,Y1.2,Y5.2,yes,v2 and 2.x routes disagree,0,false,,adjudicated,Severin,2026-09-26
S144,design,Participants will report feeling calmer and more restored after time spent in nature.,Y8.7 Flourishing & Life Satisfaction,Y8.7 Flourishing & Life Satisfaction,Y2.1 Enjoyment & Joy | Y6.6 Environmental Stewardship,Y8.7,Y2.1,yes,v2 and 2.x routes disagree,0,false,,adjudicated,Severin,2026-09-26
S145,design,Youth will develop a personal set of moral values grounded in their faith tradition.,,Y6.1 Positive Values & Character,Y5.5 Purpose & Future Orientation,Y6.1,Y6.1,no,,0,false,,proposed,,
S146,design,Mentors will report increased confidence in their ability to support youth from different cultural backgrounds.,,A1.1 Staff & Volunteer Knowledge & Skills,A1.2 Practice Change,A1.1,A1.1,no,,0,false,,proposed,,
S147,design,Students will score proficient on the state science assessment.,"Y1.4 Science, Technology & Engineering","Y1.4 Science, Technology & Engineering","Y1.5 Other Academic Subjects | Y1.15 Grades, Credits & On-Track Status",Y1.4,Y1.5,yes,v2 and 2.x routes disagree; 2.x code 1.3 was split,0,false,,adjudicated,Severin,2026-09-26
S148,design,School counselors will implement a universal SEL screener.,,A1.2 Practice Change,A3.1 Policy & Institutional Change,A1.2,A1.2,no,,0,false,,proposed,,
S149,design,Staff turnover will decrease to below 20% annually.,A1.3 Workforce Stability & Well-Being,A1.3 Workforce Stability & Well-Being,A3.1 Policy & Institutional Change,A1.3,A3.1,yes,v2 and 2.x routes disagree; 2.x code 11.3 was split,0,false,,adjudicated,Severin,2026-09-26
S150,design,Student reporters will publish at least two articles in the community newspaper.,Y1.1 Literacy: Reading & Writing,Y1.1 Literacy: Reading & Writing,"Y2.5 Creative Expression & Performance | Y4.6 Communication & Public Speaking | Y6.4 Civic Voice, Leadership & Participation",Y1.1,Y2.5,yes,v2 and 2.x routes disagree,0,false,,adjudicated,Severin,2026-09-26
S151,design,Youth with disabilities will transition into competitive integrated employment after high school.,,Y7.5 Employment & Earnings,,Y7.5,Y7.5,no,,0,false,,proposed,,
S152,design,Youth will explore at least three career pathways aligned to their interests using labor market data.,,Y7.1 Career Awareness & Exploration,Y2.4 Relevance & Utility Value,Y7.1,Y7.1,no,,0,false,,proposed,,
S153,design,Home visitors will observe increased positive parent-child interactions.,,F1.1 Parenting Knowledge & Practices,,F1.1,F1.1,no,,0,false,,proposed,,
S154,design,Neighborhood residents will report increased trust in one another and willingness to intervene for youth safety.,A3.3 Community Conditions & Collective Efficacy,A3.3 Community Conditions & Collective Efficacy,A3.1 Policy & Institutional Change | Y8.10 Felt Safety,A3.3,A3.1,yes,v2 and 2.x routes disagree; 2.x code 11.3 was split,0,false,,adjudicated,Severin,2026-09-26
S155,design,Youth will evaluate the credibility of online news sources and identify misinformation.,"Y1.7 Critical Thinking, Inquiry & Media Literacy","Y1.7 Critical Thinking, Inquiry & Media Literacy",Y6.7 Digital Citizenship & Online Safety,Y1.7,Y6.7,yes,v2 and 2.x routes disagree,0,false,,adjudicated,Severin,2026-09-26
S156,design,Out-of-school suspensions will decrease by 30% at partner schools.,Y1.14 Exclusionary Discipline,Y1.14 Exclusionary Discipline,"Y1.15 Grades, Credits & On-Track Status | A3.1 Policy & Institutional Change",Y1.14,Y1.15,yes,v2 and 2.x routes disagree; 2.x code 1.6 was split,0,false,,adjudicated,Severin,2026-09-26
S157,design,Families will report trusting program staff and feeling welcome at the center.,,F1.8 Family Connection & Trust with the Program,F1.9 Family Participation & Leadership,F1.8,F1.8,no,,0,false,,proposed,,
S158,design,Youth will feel more confident trying new challenges.,,"Y5.4 Confidence, Self-Efficacy & Self-Worth",Y2.2 Curiosity & Triggered Interest,Y5.4,Y5.4,no,,0,false,,proposed,,
S159,design,Participants will enroll in an advanced STEM course the following school year.,Y1.16 Advanced Coursework & Dual Credit,Y1.16 Advanced Coursework & Dual Credit,Y1.9 Academic Engagement Behaviors | Y2.3 Sustained & Individual Interest,Y1.16,Y1.9,yes,v2 and 2.x routes disagree,0,false,,adjudicated,Severin,2026-09-26
S160,design,Youth will reduce recidivism and avoid re-arrest within 12 months of program completion.,,"Y8.13 Justice Involvement, Diversion & Reentry",,Y8.13,Y8.13,no,,0,false,,proposed,,
S161,design,Youth will demonstrate safe use of tools in the construction trades lab.,,"Y7.4 Technical Skills, Credentials & Work-Based Learning",Y8.3 Health Knowledge & Safety Skills,Y7.4,Y7.4,no,,0,false,,proposed,,
S162,design,Campers will demonstrate increased independence in self-care tasks away from home.,Y7.7 Independent Living Skills,Y7.7 Independent Living Skills,"Y4.3 Goal-Setting, Organization & Self-Discipline | Y8.1 Healthy Daily Habits",Y7.7,Y4.3,yes,v2 and 2.x routes disagree,0,false,,adjudicated,Severin,2026-09-26
S163,design,Students will feel safe and accepted at the program.,,Y3.1 Belonging & Mattering,Y8.10 Felt Safety,Y3.1,Y3.1,no,,0,false,,proposed,,
