gold_id,origin_id,set,program_type,outcome_text,v1_coder_a,v1_coder_b,v1_gold,v1_alternates,v1_agreement,v1_forced_fit,v2_coder_a,v2_coder_b,v2_gold,v2_alternates,v2_agreement,v2_forced_fit,v2_outcome_type,expected_uncoded,codebook_issues,adjudication_note,review_priority,status,adjudicated_by,adjudicated_on
H083,heldout-generator,heldout,camps/4-H/scouting,Youth reported making new friends and feeling a sense of belonging at camp.,2.3 + 2.1,2.3 + 2.1,2.3,2.1,agreed,0,Y2.3 + Y2.1,Y2.3 + Y2.1,Y2.3,Y2.1,agreed,0,status,false,,,normal,proposed,,
H084,heldout-generator,heldout,camps/4-H/scouting,4-H members completed their project record books and presented them at the county fair.,3.2.4 + 1.5,3.2.4 + 1.5,3.2.4,4.1,agreed,0,Y3.5 + Y3.9,Y3.5 + Y3.9,Y3.5,Y6.1,agreed,0,behavior|skill,false, || v2: Record-book completion is not clearly named by any subcategory; treated as organization/self-discipline.,,normal,proposed,,
H085,heldout-generator,heldout,health promotion,Adolescents increased their knowledge of nutrition and made healthier food choices in the school cafeteria.,7.1 + 7.1,7.1 + 7.1,7.1,11.3,agreed,0,Y10.3 + Y10.3,Y10.3 + Y10.3,Y10.3,Y10.5,agreed,0,knowledge,false,,,normal,proposed,,
H086,heldout-generator,heldout,health promotion,Participants reduced recreational screen time to less than 2 hours per day.,7.1,7.1,7.1,5.3,agreed,1,Y10.1,Y10.1,Y10.1,Y10.4,agreed,0,behavior,false,Screen time not named in 7.1. | Screen time isn't named in 7.1's examples (exercise/nutrition/hygiene) but is the closest health-behavior code.,,high,proposed,,
H087,heldout-generator,heldout,health promotion,See attached logic model for a full list of outcome measures.,none,none,none,,agreed,0,none,none,none,,agreed,0,none,true,,,normal,proposed,,
H088,heldout-generator,heldout,community/systems-change coalitions,Outcomes: Systems and Policy Change,none,none,none,10.3,agreed,0,none,none,none,A3.1,agreed,0,none,true,,,normal,proposed,,
H089,heldout-generator,heldout,community/systems-change coalitions,The coalition secured a new local ordinance restricting youth access to flavored tobacco products.,10.3,10.3,10.3,7.5,agreed,0,A3.1,A3.1,A3.1,Y12.2,agreed,0,status,false,,,normal,proposed,,
H090,heldout-generator,heldout,community/systems-change coalitions,Member organizations reported increased collaboration and shared data across systems serving youth.,10.3,10.3,10.3,10.1;10.2,agreed,0,A3.2,A3.2,A3.2,,agreed,0,behavior|status,false,,,normal,proposed,,
S001,V-047,design,disability_inclusion,Youth with disabilities will participate fully in program activities alongside their peers.,9.2,9.2,9.2,2.1,agreed,0,Y1.5,A2.4,Y1.5,A2.4,contested,0,behavior,false, || v2: Inclusion construct only in A2.4 (program-level); youth-level inclusive participation lacks a Y code.,v2: rc1: youth taking part in inclusive activities → Y1.5.,high,proposed,,
S002,N-026,design,health_promotion,Youth will be able to name three methods of preventing sexually transmitted infections.,7.6,7.6,7.6,11.3,agreed,0,Y10.6,Y10.6,Y10.6,Y10.5,agreed,0,knowledge,false,,,normal,proposed,,
S003,N-079,design,afterschool_ost,Youth will choose to return to the program for a second year.,10.5,10.5,10.5,2.1,agreed,0,Y1.5,Y1.5,Y1.5,A2.2,agreed,0,behavior,false,,,normal,proposed,,
S004,G-038,design,afterschool_ost,Youth will take turns leading their small group during project work.,6.3,3.4.2,3.4.2,6.3,contested,0,Y3.10,Y3.10,Y3.10,Y5.3,agreed,0,behavior|skill,false,,Leading peers inside a group task is a teamwork skill; 6.3 is about influencing decisions.,high,proposed,,
S005,G-033,design,civic_engagement,Youth will complete 20 hours of community service at local nonprofits.,6.2,6.2,6.2,10.5,agreed,0,Y5.4,Y5.4,Y5.4,A2.2,agreed,0,behavior,false,,,normal,proposed,,
S006,G-003,design,family_support,Parents will receive financial coaching and increase household savings.,12.5,12.5,12.5,,agreed,0,F2.1,F2.1,F2.1,Y9.6,agreed,0,status,false,,,normal,proposed,,
S007,V-054,design,school_based_mental_health,Youth will demonstrate increased willingness to seek help when struggling emotionally.,3.4.4,3.4.4,3.4.4,3.3.4,agreed,0,Y3.12,Y3.12,Y3.12,Y11.4,agreed,0,attitude,false,,,normal,proposed,,
S008,N-080,design,afterschool_ost,Students will say they feel proud to be part of the program.,2.1,2.1,2.1,1.1;5.4,agreed,0,Y1.1,Y1.1,Y1.1,Y2.1,agreed,0,attitude,false,,,normal,proposed,,
S009,V-045,design,immigrant_refugee,Refugee youth will develop a strong sense of both their heritage culture and their new community.,2.4 + 2.1,2.4 + 2.1,2.4,3.1.2;5.4,agreed,1,Y4.2 + Y2.1,Y4.2,Y4.2,Y4.1,agreed,0,attitude,false,No code for belonging/connection to the broader (non-program) community; 2.1 scoped to school/program.,,high,proposed,,
S010,N-102,design,general,Program staff will collect pre- and post-surveys from all participants.,none,none,none,,agreed,0,none,none,none,A2.2,agreed,0,none,true, || v2: Evaluation/data-collection note; explicitly uncoded per rule.,,normal,proposed,,
S011,N-103,design,general,Participants will benefit from high-quality programming.,none,none,none,,agreed,0,none,none,none,A2.1,agreed,0,none,true,,,normal,proposed,,
S012,G-028,design,faith_based,Youth will demonstrate honesty and integrity.,5.2,5.2,5.2,3.5.2,agreed,0,Y5.1,Y5.1,Y5.1,,agreed,0,behavior|attitude,false,,,normal,proposed,,
S013,N-041,design,environmental_outdoor,"Youth will take action to reduce waste at home, such as recycling and composting.",6.2,6.2,6.2,3.5.5,agreed,1,Y5.6,Y5.6,Y5.6,Y3.17,agreed,0,behavior,false,"No code for pro-environmental behavior at home; 6.2 is community service, 3.5.5 classroom. | No subcategory names individual environmental-stewardship behavior at home; forced into 6.2.",,high,proposed,,
S014,G-026,design,college_access,Seniors will complete college-level coursework to be ready for freshman year.,8.1,8.1,8.1,11.3;11.6,agreed,0,Y8.6,Y8.6,Y8.6,Y8.3,agreed,0,status,false,,,normal,proposed,,
S015,N-066,design,substance_prevention,Students will perceive greater risk of harm from regular marijuana use.,7.5,7.5,7.5,3.5.4,agreed,0,Y12.2,Y12.2,Y12.2,,agreed,0,attitude,false,,,normal,proposed,,
S016,V-062,design,faith_based,Youth will deepen their spiritual life and relationship with God.,5.4,5.4,5.4,5.2,agreed,0,Y4.5,Y4.5,Y4.5,Y5.1,agreed,0,attitude,false,No spiritual code; faith routing rule lists four options without guidance for relationship with God. || v2: Faith language points to both Y5.1 and Y4.5; no rule chooses.,,normal,proposed,,
S017,N-039,design,immigrant_refugee,Newcomer families will understand their rights regarding school enrollment regardless of immigration status.,6.1,6.1,6.1,12.1;9.1,agreed,1,F1.6,F1.6,F1.6,F3.3,agreed,0,knowledge,false,Caregiver civic/legal-rights knowledge has no Domain 12 home; 6.1 is youth-framed.,,high,proposed,,
S018,N-064,design,restorative_justice,Youth diverted from court will complete their restorative agreement.,7.8,7.8,7.8,11.6,agreed,0,Y12.4,Y12.4,Y12.4,,agreed,0,status,false,,,normal,proposed,,
S019,N-034,design,partnerships_systems,The city will allocate dedicated funding for summer youth employment in the annual budget.,10.3,10.3,10.3,9.1,agreed,0,A3.1,A3.1,A3.1,,agreed,0,status,false,,,normal,proposed,,
S020,V-028,design,workforce_cte,"Participants will earn an industry-recognized certification (OSHA-10, ServSafe, CPR).",8.6,8.6,8.6,8.8,agreed,0,Y9.4,Y9.4,Y9.4,Y10.5,agreed,0,status,false,,,normal,proposed,,
S021,V-064,design,faith_based,Youth will build a supportive peer community within the youth group.,2.3,2.3,2.3,2.1,agreed,0,Y2.3,Y2.3,Y2.3,Y2.1,agreed,0,behavior|status,false,,,normal,proposed,,
S022,V-075,design,early_childhood,Families will establish a consistent bedtime and daily routine at home.,12.4,12.4,12.4,12.1,agreed,0,F1.4,F1.4,F1.4,Y10.4,agreed,0,behavior,false,,,normal,proposed,,
S023,V-005,design,afterschool_ost,Program will maintain 85% average daily attendance across all sites.,10.5,10.5,10.5,11.5,agreed,0,A2.2,A2.2,A2.2,Y8.1,agreed,0,output,false,,,normal,proposed,,
S024,N-011,design,runaway_homeless_youth,Runaway youth will be reunified with family when it is safe to do so.,12.7,3.4.5,12.7,3.4.5,contested,1,Y2.4,Y2.4,Y2.4,F2.3,agreed,0,status,false,No code for family reunification/permanency for runaway youth. | No subcategory covers family reunification/living-situation outcomes for runaway/homeless youth.,Reunification/permanency has no home; closest is living-situation stability.,high,proposed,,
S025,V-072,design,early_childhood,"Children will demonstrate age-appropriate pre-literacy skills (letter recognition, phonemic awareness).",11.7,11.7,11.7,11.1,agreed,0,Y7.8,Y7.8,Y7.8,Y7.1,agreed,0,skill,false,,,normal,proposed,,
S026,V-007,design,mentoring,Mentees will report having a trusted adult they can go to with problems.,2.2,2.2,2.2,3.4.4,agreed,0,Y2.2,Y2.2,Y2.2,,agreed,0,status,false,,,normal,proposed,,
S027,G-029,design,afterschool_ost,Students will choose to report bullying they witness rather than join in.,3.5.2,7.7,3.5.2,7.7,contested,0,Y3.15,Y3.15,Y3.15,Y12.3,agreed,0,behavior,false,,A situational prosocial decision; 7.7 is incidence of bullying.,high,proposed,,
S028,V-042,design,immigrant_refugee,Youth will improve their English language proficiency.,11.4,11.4,11.4,,agreed,0,Y7.7,Y7.7,Y7.7,,agreed,0,skill,false,,,normal,proposed,,
S029,G-045,design,foster_care_transition,Youth aging out of foster care will secure stable housing by age 21.,12.7,12.7,12.7,,agreed,1,F2.3,F2.3,F2.3,,agreed,0,status,false,12.7 is framed as family housing; no code for independent youth housing.,,high,proposed,,
S030,G-060,design,general_education_tutoring,Students will receive fewer office discipline referrals for disruptive classroom behavior.,11.6,11.6,11.6,4.1;7.2,agreed,0,Y8.4,Y8.4,Y8.4,,agreed,0,status,false,Office discipline referrals fall between 11.6 (exclusionary discipline) and 7.2 (fewer disruptive behaviors); no rule decides.,,normal,proposed,,
S031,G-050,design,sports_recreation,Players will improve their dribbling and passing skills.,7.1,7.1,7.1,11.3,agreed,1,Y10.2,Y10.2,Y10.2,,agreed,0,skill,false,No code for sport-specific skill development. | No subcategory covers sport-specific skill development distinct from general physical activity.,,high,proposed,,
S032,N-035,design,disability_inclusion,Students with IEPs will lead their own IEP meetings by the end of the school year.,6.3,6.3,6.3,5.1;9.2,agreed,0,Y4.6,Y4.6,Y4.6,Y5.3,agreed,0,behavior|skill,false,,,normal,proposed,,
S033,N-058,design,youth_employment,Program graduates will be employed or in education six months after exit.,8.8 + 8.7,8.8 + 8.7,8.8,8.7,agreed,0,Y9.5,Y9.5,Y9.5,Y8.7,agreed,0,status,false,,,normal,proposed,,
S034,N-088,design,general_education_tutoring,Students will believe that their intelligence can grow with effort.,3.1.4,3.1.4,3.1.4,4.4,agreed,0,Y6.4,Y6.4,Y6.4,Y4.3,agreed,0,attitude,false, || v2: Intelligence growth mindset sits between general (Y4.3) and academic (Y6.4) growth mindset.,,normal,proposed,,
S035,V-038,design,housing_basic_needs,Families will reduce housing instability and report decreased stress related to housing insecurity.,12.7 + 12.2,12.7 + 12.2,12.7,7.2,agreed,0,F2.3 + F1.2,F2.3 + F1.2,F2.3,F2.1,agreed,0,status,false,,,normal,proposed,,
S036,N-046,design,stem_robotics,Girls in the program will increasingly see themselves as 'a STEM person.',3.1.2,3.1.2,3.1.2,4.4,agreed,1,Y4.7,Y4.7,Y4.7,Y1.3,agreed,0,attitude,false,No code for discipline/STEM identity.,,high,proposed,,
S037,N-008,design,foster_care_transition,Young adults will maintain their own apartment lease for 12 consecutive months.,12.7,12.7,12.7,,agreed,0,F2.3,F2.3,F2.3,Y9.7,agreed,0,status,false,12.7 framed as family; young adult independent housing.,,normal,proposed,,
S038,G-042,design,community,Youth will feel safe walking in their neighborhood.,5.1,5.1,5.1,2.1,agreed,0,Y12.1,Y12.1,Y12.1,Y2.1,agreed,0,attitude,false,5.1 label 'Empowerment & Safety' but definition is mattering/voice; example is neighborhood safety.,,normal,proposed,,
S039,N-093,design,civic_engagement,Youth council members will co-design program activities with staff.,6.3,6.3,6.3,5.1,agreed,0,Y5.3,Y5.3,Y5.3,Y4.6,agreed,0,behavior,false,,,normal,proposed,,
S040,N-014,design,teen_parents,Young mothers will complete all recommended well-child visits for their infant.,12.1,12.1,12.1,7.1;7.4,agreed,1,Y10.7,F1.1,F1.7,F1.1;Y10.7,contested,0,behavior,false,"No code for child health-care utilization. || v2: Teen parents are both youth and caregivers; who-changed rule unclear when youth act as parents for infant. | Teen mother is both youth and caregiver; construct is a parenting/caregiving practice for the infant, not the youth's own health.",v2: rc1: parenting before age; well-child visits kept by the parent → F1.7.,high,proposed,,
S041,N-038,design,immigrant_refugee,Parents with limited English proficiency will receive school communications in their home language.,10.4,10.4,10.4,9.1;9.2,agreed,0,F3.3,F3.3,F3.3,F3.1,agreed,0,status,false,,,normal,proposed,,
S042,V-001,design,afterschool_ost,Students will increase their homework completion rate from 60% to 85%.,4.1,4.1,4.1,11.5,agreed,0,Y6.1,Y6.1,Y6.1,Y8.3,agreed,0,behavior,false,,,normal,proposed,,
S043,V-041,design,housing_basic_needs,Case managers will report improved ability to navigate the county benefits system on behalf of clients.,10.1,10.1,10.1,12.5,agreed,0,A1.1,A1.1,A1.1,F1.6,agreed,0,skill,false,,,normal,proposed,,
S044,N-002,design,financial_capability,Participants will understand the difference between a debit card and a credit card and the cost of interest.,11.3,11.3,11.3,8.1,agreed,1,Y9.6,Y9.6,Y9.6,Y7.3,agreed,0,knowledge,false,No dedicated financial literacy code.,,high,proposed,,
S045,V-023,design,environmental_outdoor,Youth will develop a sense of stewardship and connection to nature.,5.2,5.2,5.2,1.1;6.2,agreed,1,Y5.6,Y5.6,Y5.6,,agreed,0,attitude,false,No code for environmental stewardship/connection to nature. | No subcategory names environmental stewardship/connection to nature.,,high,proposed,,
S046,V-052,design,school_based_mental_health,Students will report reduced symptoms of anxiety and depression.,7.2,7.2,7.2,,agreed,0,Y11.1,Y11.1,Y11.1,,agreed,0,status,false,,,normal,proposed,,
S047,V-008,design,mentoring,Match pairs will meet consistently for at least 12 months.,10.5,10.5,10.5,2.2,agreed,0,A2.2,A2.2,A2.2,Y2.2,agreed,0,output,false,,,normal,proposed,,
S048,V-087,design,general_education_tutoring,Students will improve reading fluency by one grade level.,11.1,11.1,11.1,,agreed,0,Y7.1,Y7.1,Y7.1,,agreed,0,skill,false,,,normal,proposed,,
S049,N-022,design,camp_4h_scouting,"Campers will try an activity that initially made them nervous, such as swimming in the lake.",3.1.4,3.1.4,3.1.4,1.2;3.2.2,agreed,0,Y1.2,Y1.2,Y1.2,Y4.3,agreed,0,behavior,false,,,normal,proposed,,
S050,G-005,design,general_education_tutoring,Students will accurately calculate percentages and interest in math class.,11.2,11.2,11.2,8.1,agreed,0,Y7.3,Y7.3,Y7.3,Y9.6,agreed,0,skill,false,,,normal,proposed,,
S051,N-013,design,teen_parents,Teen parents will stay enrolled in high school through the birth of their child.,11.5,11.5,11.5,11.6,agreed,0,Y8.2,Y8.2,Y8.2,Y8.5,agreed,0,status,false,,,normal,proposed,,
S052,G-040,design,prevention,Youth will resist peer pressure to use drugs or alcohol.,3.5.4,7.5,3.5.4,7.5,contested,0,Y3.16,Y3.16,Y3.16,Y12.2,agreed,0,skill,false,,Refusal skill (3.5.4 note: skill side of risk avoidance); 7.5 is incidence of use.,high,proposed,,
S053,V-033,design,family_support,Families will increase their knowledge of child development milestones.,12.1,12.1,12.1,,agreed,0,F1.1,F1.1,F1.1,,agreed,0,knowledge,false,,,normal,proposed,,
S054,V-019,design,sports_recreation,Youth will learn to work as part of a team to achieve a common goal.,3.4.2,3.4.2,3.4.2,2.3,agreed,0,Y3.10,Y3.10,Y3.10,Y2.3,agreed,0,skill,false,,,normal,proposed,,
S055,N-062,design,restorative_justice,Students will participate in restorative circles to repair harm instead of receiving a suspension.,3.4.3 + 11.6,3.4.3,3.4.3,11.6;3.5.2,agreed,0,Y8.4,Y8.4,Y8.4,Y12.4;Y3.11,agreed,0,behavior,false, || v2: Statement blends the activity (restorative circles) with an implied discipline outcome (avoided suspension); no rule clearly separates them.,,normal,proposed,,
S056,N-087,design,general_education_tutoring,Ninth graders will earn enough credits to be promoted to tenth grade.,11.6,11.6,11.6,,agreed,0,Y8.3,Y8.3,Y8.3,,agreed,0,status,false,,,normal,proposed,,
S057,V-093,design,general_education_tutoring,See logic model above.,none,none,none,,agreed,0,none,none,none,,agreed,0,none,true," || v2: Cross-reference fragment, not a codable outcome.",,normal,proposed,,
S058,N-095,design,arts_education,Youth will compose an original song.,1.4,1.4,1.4,1.5,agreed,0,Y7.6,Y7.6,Y7.6,,agreed,0,skill,false,,,normal,proposed,,
S059,V-025,design,environmental_outdoor,Youth will demonstrate leadership skills while leading a trail cleanup for the community.,6.3,6.3,6.3,6.2,agreed,0,Y3.10,Y3.10,Y3.10,Y5.4,agreed,1,skill,false," || v2: No general youth leadership code; Y3.10 covers only group-task leadership, Y5.3 only civic.",,high,proposed,,
S060,G-004,design,youth_employment,"Summer youth employees will earn an average of $2,400 in wages.",8.8,8.8,8.8,,agreed,0,Y9.5,Y9.5,Y9.5,F2.1,agreed,0,status,false,,,normal,proposed,,
S061,N-072,design,early_childhood,Infants and toddlers will receive developmental screenings and referrals as needed.,11.7,11.7,11.7,7.4,agreed,0,Y10.7,Y10.7,Y10.7,Y7.8,agreed,0,status,false,,,normal,proposed,,
S062,V-077,design,food_security,Families will report reduced food insecurity and increased access to healthy food.,12.6,12.6,12.6,,agreed,0,F2.2 + F2.2,F2.2,F2.2,F2.1,agreed,0,status,false,,,normal,proposed,,
S063,V-027,design,workforce_cte,Youth will complete a resume and practice interview skills.,8.3 + 8.5,8.3 + 8.5,8.3,8.5,agreed,0,Y9.2,Y9.2,Y9.2,Y9.3,agreed,0,behavior|skill,false,,,normal,proposed,,
S064,N-024,design,health_promotion,Participants will complete an annual dental and vision screening.,7.1,7.1,7.1,7.4;9.1,agreed,1,Y10.7,Y10.7,Y10.7,Y10.4,agreed,0,behavior,false,No code for physical health screening/service utilization. | No subcategory covers general physical health screenings (dental/vision) outside mental health services.,,high,proposed,,
S065,N-065,design,substance_prevention,Youth will report lower intentions to vape in the next year.,7.5,7.5,7.5,3.5.4,agreed,0,Y12.2,Y12.2,Y12.2,Y3.16,agreed,0,attitude,false,,,normal,proposed,,
S066,N-051,design,media_journalism,Youth will improve their persuasive writing skills.,11.1,11.1,11.1,11.3,agreed,1,Y7.2,Y7.2,Y7.2,Y7.9,agreed,0,skill,false,11.1 is reading-only; no code for writing skill.,,high,proposed,,
S067,G-009,design,school_based_mental_health,Students will report fewer symptoms of depression on the PHQ-9.,7.2,7.2,7.2,,agreed,0,Y11.1,Y11.1,Y11.1,,agreed,0,status,false,,,normal,proposed,,
S068,N-045,design,sports_recreation,"Children will develop fundamental movement skills such as running, jumping, throwing, and catching.",7.1,7.1,7.1,11.7,agreed,0,Y10.2,Y10.2,Y10.2,Y10.1,agreed,0,skill,false,,,normal,proposed,,
S069,G-008,design,school_based_mental_health,Students will learn and practice deep-breathing techniques to manage test anxiety.,3.2.2,3.2.2,3.2.2,3.2.1;7.2,agreed,0,Y3.3,Y3.3,Y3.3,Y6.3,agreed,0,skill,false,,,normal,proposed,,
S070,V-070,design,juvenile_justice_reentry,Youth will reconnect with family members and rebuild trust after a period of incarceration.,3.4.5,3.4.5,3.4.5,7.8,agreed,1,Y2.4,Y2.4,Y2.4,,agreed,0,behavior|status,false,No code for youth-family relationship repair.,,high,proposed,,
S071,N-082,design,school_based_mental_health,Students will report higher life satisfaction and a sense of flourishing.,1.1,1.1,1.1,5.4;7.2,agreed,1,Y11.2,Y11.2,Y11.2,,agreed,0,status,false,Mental-health 'health continuum' (flourishing) has no home; 7.2 covers only symptoms. || v2: Could be read as attitude (self-report of feeling) vs. status (condition); Y11 tie-breaker treats parallel construct (symptoms) as status.,,high,proposed,,
S072,G-014,design,general_education_tutoring,Students will believe their math ability can grow with effort and practice.,4.4,4.4,4.4,3.1.4,agreed,0,Y6.4,Y6.4,Y6.4,Y4.3,agreed,0,attitude,false,"Growth mindset assigned to 3.1.4, but academic-specific mindset per rule 3 goes to 4.4, whose definition is confidence only.",,normal,proposed,,
S073,N-061,design,violence_prevention,Outreach workers will mediate conflicts to prevent retaliatory shootings in the neighborhood.,7.7,7.7,7.7,10.1;10.2,agreed,0,Y12.3,A1.2,Y12.3,A1.2,contested,0,behavior,false,,v2: The outreach workers' mediation is the means; the outcome is fewer shootings.,high,proposed,,
S074,N-043,design,sports_recreation,"Players will improve their dribbling, passing, and shooting skills.",7.1,7.1,7.1,11.3,agreed,1,Y10.2,Y10.2,Y10.2,,agreed,0,skill,false,No code for sport-specific skill development. | No subcategory covers sport-specific skill development distinct from general physical activity.,,high,proposed,,
S075,N-029,design,program_quality,The organization will achieve accreditation from the state afterschool network.,10.3,10.3,10.3,10.5,agreed,0,A2.1,A2.1,A2.1,,agreed,0,status,false,,,normal,proposed,,
S076,V-065,design,faith_based,Youth will participate in a mission trip and serve people experiencing poverty.,6.2,6.2,6.2,5.3,agreed,0,Y5.4,Y5.4,Y5.4,Y1.5,agreed,0,behavior,false,,,normal,proposed,,
S077,V-013,design,arts_education,"Youth will present their artwork in a public exhibition, building pride and confidence.",1.5 + 3.1.4,1.5 + 3.1.4,1.5,3.1.4;5.4,agreed,0,Y7.6 + Y4.3,Y7.6 + Y4.3,Y7.6,Y3.9;Y4.4,agreed,0,behavior|skill,false,Exhibition is both a means and the 1.5 example; means-vs-result rule ambiguous here.,,normal,proposed,,
S078,G-059,design,school_based_mental_health,Youth who have experienced trauma will report feeling psychologically safe and supported in processing it.,7.3,7.3,7.3,7.2,agreed,0,Y11.3,Y11.3,Y11.3,Y2.1,agreed,0,attitude|status,false,,,normal,proposed,,
S079,G-007,design,afterschool_ost,Youth will use calming strategies when upset.,3.2.1,3.2.1,3.2.1,3.2.2,agreed,0,Y3.2,Y3.2,Y3.2,Y3.3,agreed,0,behavior|skill,false,,,normal,proposed,,
S080,V-006,design,afterschool_ost,"Students will try new enrichment activities they've never done before (cooking, coding, art).",1.2,1.2,1.2,5.3,agreed,0,Y1.2,Y1.2,Y1.2,Y1.5,agreed,0,behavior,false,,,normal,proposed,,
S081,N-054,design,college_access,Seniors will be able to compare financial aid award letters and calculate net cost.,8.3,8.3,8.3,11.2,agreed,0,Y9.2,Y9.2,Y9.2,Y9.6,agreed,0,skill,false,,,normal,proposed,,
S082,G-041,design,mentoring,Youth will express gratitude toward family and mentors.,5.2,5.2,5.2,2.2;3.1.1,agreed,1,Y3.6,Y3.6,Y3.6,Y2.4,agreed,0,behavior,false,No code for gratitude.,,high,proposed,,
S083,V-081,design,food_security,Volunteers will report a greater understanding of food insecurity issues in their community after serving at the food pantry.,6.4,6.4,6.4,10.1;6.1,agreed,0,A1.1,A1.1,A1.1,A3.3,agreed,0,knowledge,false,Volunteer learning about social issues (not youth support) fits neither 10.1 nor youth-framed 6.4 cleanly. || v2: Volunteers are adults; A1.1 is the nearest home though the scope is usually program staff/mentors.,,normal,proposed,,
S084,N-055,design,college_access,Alumni will complete a bachelor's degree within six years.,8.7,8.7,8.7,,agreed,0,Y8.7,Y8.7,Y8.7,,agreed,0,status,false,,,normal,proposed,,
S085,G-048,design,general_education_tutoring,Participating students will have fewer out-of-school suspensions.,11.6,11.6,11.6,7.7,agreed,0,Y8.4,Y8.4,Y8.4,,agreed,0,status,false,,,normal,proposed,,
S086,V-009,design,mentoring,Youth will set and work toward a personal goal with support from their mentor.,3.2.3,3.2.3,3.2.3,2.2,agreed,0,Y3.4,Y3.4,Y3.4,Y2.2,agreed,0,behavior|skill,false,,,normal,proposed,,
S087,V-048,design,disability_inclusion,Staff will increase their knowledge of inclusive practices and accommodations for youth with diverse abilities.,10.1,10.1,10.1,10.2,agreed,0,A1.1,A1.1,A1.1,A2.4,agreed,0,knowledge,false,,,normal,proposed,,
S088,N-099,design,juvenile_justice_reentry,Youth will avoid a new adjudication while on probation.,7.8,7.8,7.8,,agreed,0,Y12.4,Y12.4,Y12.4,,agreed,0,status,false,,,normal,proposed,,
S089,G-001,design,financial_literacy,Youth will create and follow a monthly personal budget.,3.2.4,11.3,3.2.4,11.3;11.2,contested,1,Y9.6,Y9.6,Y9.6,Y9.7,agreed,0,behavior,false,No financial capability code.,Youth financial capability has no home (proposed 8.9).,high,proposed,,
S090,N-096,design,arts_education,Students will connect a historical artwork to their own cultural experience.,1.5,1.5,1.5,2.4,agreed,0,Y7.6,Y7.6,Y7.6,Y4.2,agreed,0,skill,false, || v2: Responding to art (NCAS) vs. cultural identity affirmation both plausible.,,normal,proposed,,
S091,V-092,design,general_education_tutoring,N/A,none,none,none,,agreed,0,none,none,none,,agreed,0,none,true, || v2: Not a codable statement.,,normal,proposed,,
S092,N-003,design,financial_capability,Teens earning summer wages will deposit at least 25% of each paycheck into a savings account.,12.5,12.5,12.5,3.2.4,agreed,1,Y9.6,Y9.6,Y9.6,F2.1,agreed,0,behavior,false,"No youth financial capability/savings code; 12.5 is household-level. | 12.5 is scoped to household/family economic stability, not an individual youth's own savings behavior.",,high,proposed,,
S093,V-017,design,sports_recreation,Youth will improve physical fitness and cardiovascular endurance.,7.1,7.1,7.1,,agreed,0,Y10.1,Y10.1,Y10.1,,agreed,0,status,false,,,normal,proposed,,
S094,N-025,design,health_promotion,Students with asthma will reduce emergency room visits through improved self-management.,7.1,7.1,7.1,7.4,agreed,1,Y10.7,Y10.7,Y10.7,Y10.5,agreed,0,status,false,No code for chronic disease self-management or physical health care utilization. | No subcategory covers chronic physical-condition self-management or related healthcare utilization.,,high,proposed,,
S095,G-002,design,youth_savings,Participants will open a savings account and make regular deposits.,12.5,12.5,12.5,9.1,agreed,1,Y9.6,Y9.6,Y9.6,,agreed,0,behavior,false,"No youth financial capability/savings code. | 12.5 is scoped to household/family economic stability, not an individual youth's own banking behavior.",,high,proposed,,
S096,V-039,design,housing_basic_needs,Youth experiencing homelessness will maintain school enrollment and attendance despite housing disruptions.,11.5,11.5,11.5,,agreed,0,Y8.2 + Y8.1,Y8.2,Y8.2,Y8.1,agreed,0,status,false,,,normal,proposed,,
S097,V-026,design,environmental_outdoor,Students will identify careers in environmental science and conservation.,8.4,8.4,8.4,11.3,agreed,0,Y9.1,Y9.1,Y9.1,Y5.6,agreed,0,knowledge,false,,,normal,proposed,,
S098,V-044,design,immigrant_refugee,Parents will access interpretation and translation services to communicate with teachers.,2.5,2.5,2.5,10.4;9.1,agreed,0,F3.3,F3.3,F3.3,,agreed,0,behavior|status,false,,,normal,proposed,,
S099,N-067,design,mentoring,Mentees will expand their professional network by connecting with at least three adults in careers of interest.,8.4,8.4,8.4,2.2;8.5,agreed,1,Y2.5,Y2.5,Y2.5,Y9.1,agreed,0,behavior|status,false,No code for social capital/professional networks.,,high,proposed,,
S100,N-086,design,general_education_tutoring,Third graders will read on grade level by the end of the year.,11.1,11.1,11.1,11.7,agreed,0,Y7.1,Y7.1,Y7.1,Y8.3,agreed,0,skill,false,,,normal,proposed,,
S101,N-032,design,partnerships_systems,The school district will adopt a policy guaranteeing afterschool transportation for all students.,10.3,10.3,10.3,9.1,agreed,0,A3.1,A3.1,A3.1,,agreed,0,status,false,,,normal,proposed,,
S102,N-005,design,foster_care_transition,"Youth aging out of foster care will have at least one permanent, caring adult connection by age 21.",2.2,2.2,2.2,3.4.5,agreed,0,Y2.2,Y2.2,Y2.2,Y2.4,agreed,0,status,false,,,normal,proposed,,
S103,V-074,design,early_childhood,Children will demonstrate improved self-regulation and ability to follow classroom routines.,3.2.1 + 4.1,3.2.1 + 4.1,3.2.1,3.3.3,agreed,0,Y3.2 + Y3.8,Y3.2 + Y3.8,Y3.2,Y3.5,agreed,0,skill,false,,,normal,proposed,,
S104,N-047,design,stem_robotics,Students will apply the engineering design process to build and test a prototype.,11.3,11.3,11.3,1.4,agreed,0,Y7.4,Y7.4,Y7.4,,agreed,0,skill,false,,,normal,proposed,,
